Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),RollStdev ft 1 day,Rolling mean 1 day,RollStdev 1 week,Rolling mean 1 week
2018-01-01,0:00,1.168,-,1.48,0.923372736,1.217916667,0.880349167,0.612619048
2018-01-01,1:00,1.432,-,1.77,0.937367575,1.171666667,0.881591299,0.61375
2018-01-01,2:00,1.779,-,2.12,0.942063723,1.113333333,0.879962056,0.612380952
2018-01-01,3:00,2.119,-,2.43,0.924421382,1.04625,0.874099121,0.607857143
2018-01-01,4:00,2.357,-,2.7,0.87918595,0.97125,0.863675772,0.600297619
2018-01-01,5:00,2.418,-,2.84,0.798601926,0.892083333,0.848503688,0.589583333
2018-01-01,6:00,2.262,-,2.67,0.68298365,0.813333333,0.830396307,0.576904762
2018-01-01,7:00,1.891,-,2.36,0.558945047,0.7425,0.814351628,0.564464286
2018-01-01,8:00,1.343,-,1.88,0.440687868,0.676666667,0.80240791,0.55452381
2018-01-01,9:00,0.692,-,1.31,0.360247248,0.617083333,0.796176973,0.548511905
2018-01-01,10:00,0.036,-,0.75,0.348408389,0.563333333,0.795097196,0.547202381
2018-01-01,11:00,-0.513,-,0.28,0.40553753,0.512083333,0.797603927,0.551011905
2018-01-01,12:00,-0.859,-,-0.09,0.503539465,0.460416667,0.801410751,0.558869048
2018-01-01,13:00,-0.945,-,-0.06,0.622700407,0.405833333,0.803975331,0.569047619
2018-01-01,14:00,-0.773,-,0.1,0.759628055,0.335,0.806783365,0.57922619
2018-01-01,15:00,-0.404,-,0.26,0.887879333,0.250833333,0.809098884,0.587619048
2018-01-01,16:00,0.065,-,0.62,0.983330263,0.164166667,0.810554486,0.593809524
2018-01-01,17:00,0.531,-,0.9,1.038530177,0.073333333,0.811568542,0.596785714
2018-01-01,18:00,0.907,-,0.97,1.052273935,-0.0125,0.811799563,0.597321429
2018-01-01,19:00,1.143,-,1.03,1.042104546,-0.085833333,0.811603086,0.596845238
2018-01-01,20:00,1.231,-,0.95,1.016433093,-0.146666667,0.811452448,0.596547619
2018-01-01,21:00,1.2,-,0.83,0.989240669,-0.193333333,0.812661767,0.598452381
2018-01-01,22:00,1.113,-,0.68,0.965952166,-0.22875,0.815713547,0.602678571
2018-01-01,23:00,1.049,-,0.45,0.949026103,-0.25375,0.821627182,0.609821429
2018-01-02,0:00,1.082,-,0.37,0.939449037,-0.270833333,0.83007214,0.619940476
2018-01-02,1:00,1.254,-,0.37,0.931753742,-0.285416667,0.840129009,0.631547619
2018-01-02,2:00,1.553,-,0.51,0.925291082,-0.29625,0.849440361,0.642916667
2018-01-02,3:00,1.916,-,0.63,0.919789575,-0.302916667,0.857714799,0.652916667
2018-01-02,4:00,2.251,-,0.8,0.918486073,-0.304166667,0.863710024,0.660892857
2018-01-02,5:00,2.461,-,0.95,0.925636385,-0.29875,0.867361397,0.66625
2018-01-02,6:00,2.477,-,0.97,0.948637085,-0.284166667,0.869090536,0.669107143
2018-01-02,7:00,2.266,-,0.78,0.987731169,-0.260416667,0.869712152,0.670416667
2018-01-02,8:00,1.839,-,0.45,1.038945605,-0.225833333,0.869999883,0.671607143
2018-01-02,9:00,1.244,-,0.02,1.098531299,-0.176666667,0.870092468,0.674583333
2018-01-02,10:00,0.561,-,-0.48,1.141028013,-0.121666667,0.869106498,0.68077381
2018-01-02,11:00,-0.103,-,-0.96,1.158324314,-0.0625,0.865292565,0.690714286
2018-01-02,12:00,-0.636,-,-1.4,1.147618754,-0.00125,0.857266097,0.70452381
2018-01-02,13:00,-0.943,-,-1.76,1.108337883,0.057083333,0.843616869,0.721666667
2018-01-02,14:00,-0.979,-,-1.92,1.045906791,0.110833333,0.823847873,0.741488095
2018-01-02,15:00,-0.759,-,-1.82,0.973859422,0.1575,0.800113194,0.762380952
2018-01-02,16:00,-0.356,-,-1.56,0.891077755,0.2125,0.776716336,0.782261905
2018-01-02,17:00,0.126,-,-1.16,0.823480485,0.25625,0.756306665,0.79952381
2018-01-02,18:00,0.583,-,-0.79,0.777565413,0.290833333,0.741403418,0.813452381
2018-01-02,19:00,0.934,-,-0.43,0.745187337,0.325416667,0.731041827,0.82422619
2018-01-02,20:00,1.139,-,-0.17,0.727885064,0.354166667,0.724599208,0.8325
2018-01-02,21:00,1.199,-,-0.02,0.721272904,0.387916667,0.72069203,0.840059524
2018-01-02,22:00,1.152,-,0.08,0.720761976,0.4225,0.718528319,0.848035714
2018-01-02,23:00,1.067,-,0.04,0.723795852,0.4575,0.718369206,0.857083333
2018-01-03,0:00,1.023,-,0.02,0.721944712,0.490416667,0.719862145,0.868035714
2018-01-03,1:00,1.088,-,0.11,0.715892065,0.518333333,0.723272883,0.880535714
2018-01-03,2:00,1.292,-,0.35,0.710847626,0.54,0.728671854,0.893392857
2018-01-03,3:00,1.613,-,0.6,0.711136567,0.5575,0.734796312,0.904642857
2018-01-03,4:00,1.98,-,0.93,0.715172904,0.57125,0.740359647,0.913690476
2018-01-03,5:00,2.298,-,1.3,0.723140795,0.5825,0.744259676,0.919464286
2018-01-03,6:00,2.475,-,1.54,0.733397766,0.59125,0.745376998,0.921071429
2018-01-03,7:00,2.45,-,1.61,0.743060529,0.597916667,0.74417002,0.919107143
2018-01-03,8:00,2.199,-,1.63,0.756609523,0.606666667,0.742236455,0.914880952
2018-01-03,9:00,1.74,-,1.34,0.766656585,0.613333333,0.740652439,0.908511905
2018-01-03,10:00,1.128,-,0.94,0.777495864,0.622916667,0.740694364,0.90327381
2018-01-03,11:00,0.45,-,0.51,0.785188868,0.635416667,0.741189559,0.900952381
2018-01-03,12:00,-0.187,-,0,0.785406292,0.6475,0.740806034,0.901845238
2018-01-03,13:00,-0.671,-,-0.47,0.776796539,0.660416667,0.737492049,0.907202381
2018-01-03,14:00,-0.92,-,-0.8,0.757702477,0.675,0.730012184,0.917083333
2018-01-03,15:00,-0.898,-,-0.5,0.733727702,0.687916667,0.718520183,0.929940476
2018-01-03,16:00,-0.637,-,-0.51,0.753677818,0.677083333,0.711265173,0.941904762
2018-01-03,17:00,-0.217,-,-0.33,0.771494761,0.667083333,0.703468471,0.95375
2018-01-03,18:00,0.254,-,0.04,0.780478764,0.660833333,0.697125008,0.963928571
2018-01-03,19:00,0.678,-,0.26,0.783026343,0.657916667,0.693814577,0.97125
2018-01-03,20:00,0.983,-,0.64,0.780915015,0.6625,0.691777773,0.976666667
2018-01-03,21:00,1.141,-,0.81,0.781262449,0.668333333,0.691337452,0.979345238
2018-01-03,22:00,1.164,-,0.92,0.784088943,0.677083333,0.691401709,0.981607143
2018-01-03,23:00,1.096,-,0.83,0.788579718,0.686666667,0.692101462,0.984404762
2018-01-04,0:00,1.008,-,0.69,0.795093537,0.702083333,0.693952612,0.989345238
2018-01-04,1:00,0.976,-,0.63,0.797892945,0.71625,0.697177226,0.996607143
2018-01-04,2:00,1.06,-,0.77,0.798623703,0.727916667,0.701852002,1.005416667
2018-01-04,3:00,1.279,-,0.93,0.799362064,0.733333333,0.707932243,1.014107143
2018-01-04,4:00,1.602,-,1.2,0.800383966,0.736666667,0.713492414,1.021488095
2018-01-04,5:00,1.955,-,1.51,0.803156364,0.740833333,0.717109998,1.026071429
2018-01-04,6:00,2.244,-,1.7,0.808508647,0.745833333,0.717916441,1.027083333
2018-01-04,7:00,2.387,-,1.82,0.820333862,0.754583333,0.716405689,1.024880952
2018-01-04,8:00,2.33,-,1.79,0.837946831,0.76625,0.713769527,1.019642857
2018-01-04,9:00,2.059,-,1.57,0.857268053,0.779583333,0.712016408,1.0125
2018-01-04,10:00,1.598,-,1.24,0.872450219,0.792916667,0.712356177,1.005416667
2018-01-04,11:00,1.005,-,0.8,0.885091394,0.809583333,0.7139638,1.000059524
2018-01-04,12:00,0.369,-,0.31,0.889634349,0.828333333,0.714926938,0.998154762
2018-01-04,13:00,-0.207,-,-0.12,0.882844546,0.848333333,0.713336056,1.000416667
2018-01-04,14:00,-0.62,-,-0.49,0.865215061,0.868333333,0.708025119,1.006845238
2018-01-04,15:00,-0.796,-,-0.76,0.840439412,0.885833333,0.698558087,1.016845238
2018-01-04,16:00,-0.717,-,-0.75,0.813938359,0.9,0.685445746,1.029761905
2018-01-04,17:00,-0.425,-,-0.48,0.804498111,0.904583333,0.672532962,1.043452381
2018-01-04,18:00,-0.006,-,-0.03,0.81062677,0.90125,0.663354293,1.05577381
2018-01-04,19:00,0.436,-,0.37,0.825843442,0.89,0.659054824,1.065178571
2018-01-04,20:00,0.809,-,0.78,0.837978503,0.875833333,0.657569465,1.07172619
2018-01-04,21:00,1.057,-,1.02,0.843440161,0.86,0.65755123,1.075178571
2018-01-04,22:00,1.161,-,1.15,0.842921829,0.849583333,0.65772653,1.07672619
2018-01-04,23:00,1.142,-,1.2,0.841416917,0.844583333,0.658016565,1.077857143
2018-01-05,0:00,1.049,-,1.03,0.84025186,0.841666667,0.658646097,1.079464286
2018-01-05,1:00,0.95,-,0.91,0.840566471,0.842916667,0.660315503,1.083392857
