Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft),RollStdev ft 1 day,Rolling mean 1 day,RollStdev 1 week,Rolling mean 1 week
2019-01-01,0:00,1.428,-,1.98,0.686145372,1.449583333,0.788350995,1.302619048
2019-01-01,1:00,1.691,-,2.25,0.67805348,1.435,0.786634929,1.299166667
2019-01-01,2:00,1.861,-,2.45,0.660787848,1.416666667,0.783167732,1.293333333
2019-01-01,3:00,1.895,-,2.58,0.636530451,1.398333333,0.778009767,1.286607143
2019-01-01,4:00,1.774,-,2.52,0.609454347,1.382083333,0.77169498,1.280178571
2019-01-01,5:00,1.502,-,2.24,0.588424573,1.37,0.766556733,1.275595238
2019-01-01,6:00,1.112,-,1.89,0.58117572,1.365,0.765204135,1.274404762
2019-01-01,7:00,0.669,-,1.42,0.578943941,1.3625,0.767515496,1.276607143
2019-01-01,8:00,0.253,-,0.96,0.578943941,1.3625,0.771814763,1.282083333
2019-01-01,9:00,-0.057,-,0.59,0.579249733,1.362083333,0.775001605,1.289761905
2019-01-01,10:00,-0.205,-,0.34,0.584095827,1.35875,0.774959108,1.298095238
2019-01-01,11:00,-0.177,-,0.3,0.603114501,1.349166667,0.771744769,1.305654762
2019-01-01,12:00,0.001,-,0.44,0.638871146,1.332083333,0.767865395,1.310833333
2019-01-01,13:00,0.276,-,0.63,0.678056553,1.310416667,0.766312812,1.312440476
2019-01-01,14:00,0.582,-,0.9,0.704126425,1.29125,0.76818362,1.310714286
2019-01-01,15:00,0.855,-,1.22,0.722304961,1.27125,0.773684427,1.305654762
2019-01-01,16:00,1.045,-,1.46,0.730385916,1.25125,0.780699021,1.298095238
2019-01-01,17:00,1.124,-,1.59,0.729608665,1.23625,0.784927623,1.29077381
2019-01-01,18:00,1.094,-,1.65,0.726186061,1.22625,0.786823906,1.284404762
2019-01-01,19:00,0.994,-,1.58,0.722853519,1.219583333,0.786924182,1.279821429
2019-01-01,20:00,0.888,-,1.49,0.722431357,1.21875,0.786579238,1.278035714
2019-01-01,21:00,0.847,-,1.41,0.723920361,1.222083333,0.786879249,1.278869048
2019-01-01,22:00,0.916,-,1.4,0.725686956,1.227083333,0.787964805,1.281369048
2019-01-01,23:00,1.103,-,1.5,0.726552311,1.23,0.789221868,1.284166667
2019-01-02,0:00,1.371,-,1.63,0.727244153,1.231666667,0.7900521,1.285952381
2019-01-02,1:00,1.657,-,1.81,0.728241877,1.233333333,0.790191887,1.28625
2019-01-02,2:00,1.891,-,2.01,0.731173367,1.236666667,0.789394441,1.284642857
2019-01-02,3:00,2.014,-,2.19,0.737078054,1.241666667,0.78750643,1.281369048
2019-01-02,4:00,1.987,-,2.23,0.74798231,1.249166667,0.784716605,1.277797619
2019-01-02,5:00,1.793,-,2.12,0.769519778,1.262916667,0.782330256,1.275297619
2019-01-02,6:00,1.443,-,1.83,0.7915165,1.27875,0.782016432,1.275
2019-01-02,7:00,0.979,-,1.42,0.80972609,1.297083333,0.785167329,1.278035714
2019-01-02,8:00,0.474,-,0.95,0.819400519,1.317916667,0.790923703,1.284583333
2019-01-02,9:00,0.018,-,0.51,0.816117421,1.339583333,0.795752516,1.293630952
2019-01-02,10:00,-0.305,-,0.11,0.801482209,1.357916667,0.796958538,1.304107143
2019-01-02,11:00,-0.44,-,-0.11,0.777269352,1.375416667,0.79298949,1.314940476
2019-01-02,12:00,-0.379,-,-0.08,0.755111567,1.3875,0.785332381,1.324404762
2019-01-02,13:00,-0.156,-,0.17,0.755111567,1.3875,0.778180741,1.33077381
2019-01-02,14:00,0.168,-,0.42,0.770087046,1.379166667,0.775394479,1.33297619
2019-01-02,15:00,0.52,-,0.74,0.780638906,1.371666667,0.777574862,1.331369048
2019-01-02,16:00,0.83,-,1.1,0.789157389,1.362916667,0.784293181,1.32625
2019-01-02,17:00,1.047,-,1.35,0.795552401,1.350833333,0.792119899,1.318928571
2019-01-02,18:00,1.146,-,1.49,0.796505843,1.342916667,0.797677497,1.311488095
2019-01-02,19:00,1.134,-,1.56,0.795889804,1.336666667,0.80113606,1.304583333
2019-01-02,20:00,1.057,-,1.57,0.794863834,1.332083333,0.802831208,1.29875
2019-01-02,21:00,0.982,-,1.53,0.793989993,1.32875,0.803169564,1.294702381
2019-01-02,22:00,0.978,-,1.47,0.793504427,1.326666667,0.803073216,1.292261905
2019-01-02,23:00,1.083,-,1.54,0.793504427,1.326666667,0.803009168,1.29047619
2019-01-03,0:00,1.295,-,1.67,0.792427819,1.32125,0.8028693,1.288035714
2019-01-03,1:00,1.571,-,1.89,0.789831091,1.31375,0.80239014,1.284940476
2019-01-03,2:00,1.841,-,2.13,0.784313602,1.305,0.80123108,1.279880952
2019-01-03,3:00,2.038,-,2.37,0.775488159,1.295833333,0.798927369,1.272797619
2019-01-03,4:00,2.106,-,2.56,0.766487849,1.289166667,0.794750471,1.264345238
2019-01-03,5:00,2.009,-,2.5,0.760874306,1.285833333,0.788480506,1.255535714
2019-01-03,6:00,1.739,-,2.27,0.764403599,1.287916667,0.782581755,1.248690476
2019-01-03,7:00,1.315,-,1.92,0.774619121,1.295,0.778966619,1.24452381
2019-01-03,8:00,0.793,-,1.47,0.784524226,1.305,0.778044145,1.24327381
2019-01-03,9:00,0.253,-,0.95,0.78964081,1.3175,0.778832227,1.244940476
2019-01-03,10:00,-0.206,-,0.53,0.785766034,1.3325,0.779057192,1.248988095
2019-01-03,11:00,-0.503,-,0.18,0.774467442,1.345416667,0.777150096,1.25422619
2019-01-03,12:00,-0.591,-,-0.08,0.758600924,1.356666667,0.772752257,1.259761905
2019-01-03,13:00,-0.472,-,-0.03,0.738790139,1.3675,0.766765448,1.264702381
2019-01-03,14:00,-0.193,-,0.24,0.727746173,1.373333333,0.76347673,1.266964286
2019-01-03,15:00,0.174,-,0.53,0.721860393,1.377083333,0.7659317,1.265357143
2019-01-03,16:00,0.551,-,0.81,0.715689087,1.3825,0.772867078,1.260654762
2019-01-03,17:00,0.869,-,1.16,0.708383417,1.39375,0.781679472,1.253928571
2019-01-03,18:00,1.08,-,1.34,0.707028765,1.40875,0.789015008,1.246190476
2019-01-03,19:00,1.168,-,1.45,0.712262038,1.429583333,0.793831326,1.238869048
2019-01-03,20:00,1.152,-,1.49,0.722403396,1.453333333,0.796104231,1.232797619
2019-01-03,21:00,1.085,-,1.48,0.737089852,1.481666667,0.79683079,1.228214286
2019-01-03,22:00,1.037,-,1.47,0.756231,1.51625,0.796800432,1.225297619
2019-01-03,23:00,1.07,-,1.41,0.782795876,1.559583333,0.796575031,1.223928571
2019-01-04,0:00,1.214,-,1.49,0.792778548,1.5925,0.796472512,1.223333333
2019-01-04,1:00,1.453,-,1.68,0.799102644,1.617916667,0.79621226,1.22202381
2019-01-04,2:00,1.733,-,1.91,0.801105102,1.627083333,0.795421652,1.219107143
2019-01-04,3:00,1.982,-,2.21,0.800954141,1.626666667,0.793680441,1.214166667
2019-01-04,4:00,2.133,-,2.48,0.798862302,1.62375,0.790056133,1.20702381
2019-01-04,5:00,2.134,-,2.55,0.7965942,1.621666667,0.783899501,1.19875
2019-01-04,6:00,1.961,-,2.44,0.799722325,1.624166667,0.776876462,1.191130952
2019-01-04,7:00,1.615,-,2.16,0.811219225,1.63375,0.771003701,1.185
2019-01-04,8:00,1.13,-,1.77,0.821493426,1.645833333,0.767935509,1.181607143
2019-01-04,9:00,0.571,-,1.31,0.827126596,1.660833333,0.768028815,1.18172619
2019-01-04,10:00,0.029,-,0.84,0.823744983,1.675833333,0.769645683,1.184880952
2019-01-04,11:00,-0.397,-,0.45,0.811042896,1.690833333,0.770632917,1.190595238
2019-01-04,12:00,-0.633,-,0.18,0.793728018,1.702916667,0.769185351,1.197559524
2019-01-04,13:00,-0.646,-,0.11,0.779433904,1.710416667,0.765182224,1.204404762
2019-01-04,14:00,-0.456,-,0.33,0.77589768,1.712083333,0.760680289,1.20952381
2019-01-04,15:00,-0.123,-,0.66,0.791426432,1.704166667,0.759094501,1.211130952
2019-01-04,16:00,0.271,-,1.08,0.807947839,1.693333333,0.761164912,1.208988095
2019-01-04,17:00,0.647,-,1.52,0.829445423,1.673333333,0.76556099,1.203392857
2019-01-04,18:00,0.941,-,1.84,0.846352789,1.645,0.768904376,1.195654762
2019-01-04,19:00,1.117,-,2.02,0.852662391,1.61375,0.76958339,1.187202381
2019-01-04,20:00,1.173,-,2.17,0.850710594,1.582916667,0.767766135,1.179345238
2019-01-04,21:00,1.14,-,2.31,0.842639057,1.548333333,0.763940418,1.172857143
2019-01-04,22:00,1.079,-,2.51,0.827152878,1.510833333,0.759119387,1.167678571
2019-01-04,23:00,1.06,-,2.2,0.799552411,1.463333333,0.753048833,1.162797619
2019-01-05,0:00,1.135,-,2.1,0.784877794,1.42375,0.75048109,1.160535714
2019-01-05,1:00,1.32,-,1.9,0.772566657,1.38625,0.748691014,1.158869048
2019-01-05,2:00,1.584,-,1.9,0.765071632,1.359583333,0.747496418,1.157440476
2019-01-05,3:00,1.863,-,2.14,0.756605692,1.34,0.745647629,1.154821429
2019-01-05,4:00,2.081,-,2.43,0.741783861,1.322083333,0.741785696,1.149702381
2019-01-05,5:00,2.175,-,2.61,0.718275789,1.30375,0.735100184,1.142083333
2019-01-05,6:00,2.102,-,2.67,0.689044181,1.285833333,0.726230878,1.133630952
2019-01-05,7:00,1.851,-,2.45,0.655023924,1.267083333,0.716517492,1.125535714
2019-01-05,8:00,1.436,-,2.13,0.626521915,1.249166667,0.709568777,1.119583333
2019-01-05,9:00,0.905,-,1.67,0.605392285,1.230416667,0.706390561,1.116666667
2019-01-05,10:00,0.336,-,1.2,0.598227908,1.21375,0.707370692,1.117738095
2019-01-05,11:00,-0.176,-,0.74,0.604459274,1.196666667,0.709981242,1.121964286
2019-01-05,12:00,-0.538,-,0.36,0.623423083,1.179583333,0.711629593,1.128630952
2019-01-05,13:00,-0.686,-,0.15,0.655106474,1.160833333,0.710617781,1.136785714
2019-01-05,14:00,-0.61,-,0.14,0.703938069,1.13625,0.70695766,1.144702381
2019-01-05,15:00,-0.347,-,0.4,0.767105301,1.10375,0.702644276,1.15077381
2019-01-05,16:00,0.027,-,0.6,0.829722212,1.062916667,0.700646263,1.153392857
2019-01-05,17:00,0.426,-,0.84,0.868259023,1.027083333,0.700599391,1.153452381
2019-01-05,18:00,0.773,-,1.09,0.89081698,0.99375,0.701348936,1.152202381
2019-01-05,19:00,1.018,-,1.28,0.898404282,0.965416667,0.701921139,1.150357143
2019-01-05,20:00,1.139,-,1.34,0.896369085,0.945833333,0.701891064,1.148988095
2019-01-05,21:00,1.151,-,1.41,0.892490003,0.930833333,0.701943765,1.149166667
2019-01-05,22:00,1.099,-,1.37,0.887313871,0.917083333,0.703040139,1.151011905
2019-01-05,23:00,1.048,-,1.25,0.883443116,0.9075,0.706183128,1.155
2019-01-06,0:00,1.063,-,1.2,0.881992146,0.903333333,0.71100369,1.160833333
2019-01-06,1:00,1.184,-,1.26,0.880972782,0.9,0.716601886,1.1675
2019-01-06,2:00,1.41,-,1.43,0.880143166,0.897916667,0.720899936,1.173035714
2019-01-06,3:00,1.694,-,1.71,0.87841755,0.895,0.72366154,1.176607143
2019-01-06,4:00,1.962,-,1.99,0.87497236,0.89125,0.724250158,1.177321429
2019-01-06,5:00,2.138,-,2.18,0.870238598,0.8875,0.722217143,1.174940476
2019-01-06,6:00,2.166,-,2.22,0.868955728,0.886666667,0.718296604,1.170535714
2019-01-06,7:00,2.015,-,2.02,0.875839556,0.890833333,0.713895143,1.165654762
2019-01-06,8:00,1.689,-,1.68,0.88987776,0.900416667,0.711112936,1.162142857
2019-01-06,9:00,1.218,-,1.27,0.905399163,0.914583333,0.710584275,1.161309524
2019-01-06,10:00,0.664,-,0.79,0.916557734,0.932083333,0.712464665,1.164702381
2019-01-06,11:00,0.112,-,0.33,0.918265437,0.95125,0.714836156,1.171964286
2019-01-06,12:00,-0.342,-,-0.09,0.909329961,0.97125,0.715630013,1.182678571
2019-01-06,13:00,-0.614,-,-0.44,0.889756521,0.991666667,0.712096258,1.195595238
2019-01-06,14:00,-0.661,-,-0.64,0.862100149,1.010833333,0.702452502,1.20922619
2019-01-06,15:00,-0.493,-,-0.58,0.827618265,1.030416667,0.688257365,1.222559524
2019-01-06,16:00,-0.168,-,-0.26,0.791415445,1.050833333,0.673902354,1.233690476
2019-01-06,17:00,0.228,-,0.04,0.763362128,1.07,0.664119614,1.241190476
2019-01-06,18:00,0.607,-,0.41,0.742908381,1.087916667,0.658412623,1.24577381
2019-01-06,19:00,0.902,-,0.81,0.730781669,1.10625,0.656393432,1.247738095
2019-01-06,20:00,1.08,-,0.98,0.72823939,1.1225,0.656136067,1.248154762
2019-01-06,21:00,1.137,-,1.08,0.730201357,1.14125,0.655860572,1.249107143
2019-01-06,22:00,1.105,-,1.14,0.735491431,1.162083333,0.655910538,1.251309524
